codigo_liga,codigo_temporada,codigo_franquia,nome_franquia,nome_usuario,qtd_jogadores
24,81,517,Baião of two,user_517,16
24,81,514,Baurulhos Dinosaurs,user_514,16
24,81,511,Blank Space Jam,user_511,19
24,81,523,Capão da Canoa Sandkings,user_523,15
24,81,524,Elfos do Natal,user_524,16
24,81,526,Fox&Furious,user_526,18
24,81,533,Green Cinnamon,user_533,14
24,81,516,Havana Comrades,user_516,6
24,81,513,JF Bagres,user_513,15
24,81,512,King's Landing Kingslayers,user_512,16
24,81,525,Kush City Dope,user_525,11
24,81,528,Lobos Comunistas,user_528,18
24,81,529,Marujos Basqueteiros,user_529,16
24,81,527,Minnesota TimberLaion,user_527,15
24,81,520,Nadal Net Guardians,user_520,14
24,81,518,Namekusei BallerZ,user_518,14
24,81,532,Partizan Beagá,user_532,15
24,81,519,Pass2will,user_519,15
24,81,531,Pupunha Cabana Basketball,user_531,13
24,81,534,Rondonópolis Lobo-Guará,user_534,17
24,81,530,SantoSpurs,user_530,15
24,81,521,São Paulo Galaxy,user_521,18
24,81,522,Vasconha Basquete,user_522,19
24,81,515,Victory Village,user_515,14
